Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31
Germany,2016,Ransomware,Education,15.09,914593,Unknown,Weak Passwords,AI-based Detection,1
Japan,2015,SQL Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69
India,2019,DDoS,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unknown,Social Engineering,AI-based Detection,52
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63
